id,name_of_the_feature,n_samples,n_features,applicant,created,user_id
1,Тестовое задание,10,9,1,2024-11-10 19:48:12.889583,1
2,Скорость выполнения задания,10,8,1,2024-11-10 19:48:12.889583,1
3,Тестовые задания,10,7,2,2024-11-10 20:56:19.700739,1
4,Скорость выполнения задания,10,9,2,2024-11-10 20:56:19.700739,1
5,Ответ на вопрос 1,10,10,1,2024-11-10 20:56:19.700739,1
6,Ответ на вопрос 1,10,1,2,2024-11-10 20:56:19.700739,1
7,Ответ на вопрос 2,10,8,1,2024-11-10 20:56:19.700739,1
8,Ответ на вопрос 2,10,7,2,2024-11-10 20:56:19.700739,1
9,Ответ на вопрос 3,10,4,1,2024-11-10 20:56:19.700739,1
10,Ответ на вопрос 3,10,9,2,2024-11-10 20:56:19.700739,1
11,Образование,10,8,1,2024-11-10 23:53:09.903228,1
12,Образование,10,9,2,2024-11-10 23:53:09.903228,1
13,Зарплата,10,7,1,2024-11-10 23:53:09.903228,1
